,Player,Team,Salary
381,Alexis Ajinca,Toronto Raptors,1467840
382,Avery Bradley,Boston Celtics,1418160
383,Eric Maynor,Oklahoma City Thunder,1417800
384,Ryan Anderson,Orlando Magic,1409040
385,Roger Mason Jr.,New York Knicks,1400000
386,Ronnie Price,Utah Jazz,1381250
387,James Anderson,San Antonio Spurs,1361400
388,Darren Colliso,Indiana Pacers,1361040
389,Courtney Lee,Houston Rockets,1352640
390,Zydrunas Ilgauskas,Miami Heat,1352181
391,Eddie House,Miami Heat,1352181
392,Shaquille O'Neal,Boston Celtics,1352181
393,Roko-Leni Ukic,Milwaukee Bucks,1350000
394,Craig Brackins,Philadelphia 76ers,1306920
395,Kosta Koufos,Minnesota Timberwolves,1298640
396,Elliot Williams,Golden State Warriors,1254720
397,Omri Cassp,Sacramento Kings,1254480
398,Rudy Fernandez,Portland Trail Blazers,1246680
399,Trevor Booke,Washington Wizards,1204560
400,Serge Ibaka,Oklahoma City Thunder,1204200
401,Byron Mullens,Oklahoma City Thunder,1204200
402,Royal Ivey,Oklahoma City Thunder,1200000
403,Nicolas Batum,Portland Trail Blazers,1196760
404,Damion James,New Jersey Nets,1156320
405,Rodrigue Beaubois,Dallas Mavericks,1156080
406,Brian Cook,LA Clippers,1146337
407,James Jones,Miami Heat,1146337
408,Darrell Arthu,Memphis Grizzlies,1123680
409,Taj Gibson,Chicago Bulls,1117680
410,Dominique Jones,Dallas Mavericks,1110120
411,D.J. White,Charlotte Bobcats,1108680
412,Kyrylo Fesenko,Utah Jazz,1087500
413,DeMarre Carroll,Memphis Grizzlies,1085400
414,Wayne Ellington,Minnesota Timberwolves,1078800
415,Quincy Pondexte,New Orleans Hornets,1073280
416,Alando Tucker,Minnesota Timberwolves,1071720
417,Toney Douglas,New York Knicks,1071000
418,Jordan Crawfor,Washington Wizards,1042320
419,Greivis Vasquez,Memphis Grizzlies,1035960
420,Quinton Ross,New Jersey Nets,1033342
421,James Singleto,Washington Wizards,1030189
422,Jawad Williams,Cleveland Cavaliers,1029389
423,Aaron Gray,New Orleans Hornets,1028840
424,Daniel Orton,Washington Wizards,1028400
425,Christian Eyenga,Cleveland Cavaliers,1020960
426,Lazar Hayward,Minnesota Timberwolves,1020960
427,Jon Brockman,Milwaukee Bucks,1000000
428,Stephen Graham,New Jersey Nets,992680
429,Shavlik Randolph,Denver Nuggets,992680
430,Joey Graham,Cleveland Cavaliers,992680
431,Patty Mills,Portland Trail Blazers,937195
432,Donte Greene,Sacramento Kings,930700
433,DeJuan Blair,San Antonio Spurs,918000
434,Sam Young,Memphis Grizzlies,886000
435,Ian Mahinmi,Dallas Mavericks,885120
436,Alexander Johnson,Miami Heat,885120
437,Pops Mensah-Bonsu,New Orleans Hornets,885120
438,Josh McRoberts,Indiana Pacers,885120
439,Salim Stoudamire,Atlanta Hawks,884881
440,Quincy Douby,Sacramento Kings,855189
441,Marcus Haisli,San Antonio Spurs,855189
442,Mouhamed Sene,New York Knicks,855189
443,Anthony Roberson,Chicago Bulls,855189
444,Tarence Kinsey,Golden State Warriors,855189
445,Javaris Crittenton,Washington Wizards,854389
446,Darius Miles,Memphis Grizzlies,854389
447,Kyle Weaver,Utah Jazz,854389
448,Mario Chalmer,Miami Heat,854389
449,Luke Jackson,Miami Heat,854389
450,Kenny Thomas,Sacramento Kings,854389
451,Jamaal Magloire,Miami Heat,854389
452,Melvin Ely,Denver Nuggets,854389
453,Mike Harris,Houston Rockets,854389
454,Dwayne Jones II,Utah Jazz,854389
455,Malik Hairston,San Antonio Spurs,854389
456,Tracy McGrady,Detroit Pistons,854389
457,Antoine Wright,Sacramento Kings,854389
458,Sean May,Sacramento Kings,854389
459,Luther Head,Sacramento Kings,854389
460,Coby Karl,Denver Nuggets,854389
461,Fabricio Oberto,Portland Trail Blazers,854389
462,Earl Watson,Utah Jazz,854389
463,Sonny Weems,Toronto Raptors,854389
464,Kwame Brown,Charlotte Bobcats,854389
465,Francisco Elson,Utah Jazz,854389
466,Tony Battie,Philadelphia 76ers,854389
467,Von Wafer,Boston Celtics,854389
468,Malik Allen,Orlando Magic,854389
469,Didier Ilunga-Mbenga,New Orleans Hornets,854389
470,DeAndre Jordan,LA Clippers,854389
471,Jason Collins,Atlanta Hawks,854389
472,Jerry Stackhouse,Miami Heat,854389
473,Shelden Williams,New York Knicks,854389
474,Shawne Williams,New York Knicks,854389
475,Maurice Ager,Minnesota Timberwolves,854389
476,George Hill,San Antonio Spurs,854389
477,Josh Powell,Atlanta Hawks,854389
478,Henry Walker,New York Knicks,854389
479,Juwan Howard,Miami Heat,854389
480,Joe Smith,New Jersey Nets,854389
481,Theo Ratliff,Los Angeles Lakers,854389
482,Bobby Simmons,San Antonio Spurs,854389
483,Darnell Jackson,Sacramento Kings,854389
484,Luc Mbah a Moute,Milwaukee Bucks,854389
485,Earl Boykins,Milwaukee Bucks,854389
486,Joe Alexander,Golden State Warriors,854389
487,Hilton Armstrong,Washington Wizards,854389
488,Cartier Martin,Washington Wizards,854389
489,Joey Dorsey,Toronto Raptors,854389
490,Anthony Carter,New York Knicks,854389
491,Delonte West,Boston Celtics,854389
492,Tim Thomas,Dallas Mavericks,854389
493,Brian Cardinal,Dallas Mavericks,854389
494,Chris Richard,Chicago Bulls,854389
495,Brian Scalabrine,Chicago Bulls,854389
496,Chris Douglas-Roberts,Milwaukee Bucks,854389
497,D.J. Strawberry,Phoenix Suns,854389
498,Etan Thomas,Atlanta Hawks,854389
499,Paul Davis,Washington Wizards,825497
500,Kevin Ollie,Oklahoma City Thunder,825497
501,Ryan Bowen,Oklahoma City Thunder,825497
502,Desmond Mason,Sacramento Kings,825497
503,Mikki Moore,Golden State Warriors,825497
504,Linton Johnson,Chicago Bulls,825497
505,James White,New York Knicks,825497
506,Jason Hart,New Orleans Pelicans,825497
507,Kareem Rush,LA Clippers,825497
508,Jermareo Davidson,Golden State Warriors,825497
509,Marcus Williams,Denver Nuggets,825497
510,Lindsey Hunter,Phoenix Suns,825497
511,Gabe Pruitt,Boston Celtics,825497
512,Chris Quinn,San Antonio Spurs,804131
513,Sean Marks,Portland Trail Blazers,799105
514,Chase Budinger,Houston Rockets,780871
515,Jermaine Taylor,Sacramento Kings,780871
516,Tony Gaffney,Memphis Grizzlies,762195
517,Jodie Meek,Philadelphia 76ers,762195
518,Brian Butch,Utah Jazz,762195
519,Dante Cunningha,Charlotte Bobcats,762195
520,Derrick Brown,Charlotte Bobcats,762195
521,Darryl Watkins,New Orleans Pelicans,762195
522,Greg Stiemsma,Portland Trail Blazers,762195
523,A.J. Price,Indiana Pacers,762195
524,Taylor Griffin,Phoenix Suns,762195
525,DaJuan Summers,Detroit Pistons,762195
526,Marcus Thornton,Sacramento Kings,762195
527,Kenny Hasbrouck,null Unknown,762195
528,Jeff Ayre,LA Clippers,762195
529,Jonas Jerebk,Golden State Warriors,762195
530,Reggie Williams,Golden State Warriors,762195
531,Curtis Jerrells,null Unknown,762195
532,Oliver Lafayett,Milan Olimpia,762195
533,Lance Stephenso,Indiana Pacers,750000
534,Dontell Jefferson,Charlotte Hornets,736420
535,Mike Taylor,LA Clippers,736420
536,Joe Crawford,New York Knicks,736420
537,Sun Yue,Los Angeles Lakers,736420
538,Walter Sharpe,Detroit Pistons,736420
539,DeMarcus Nelson,Chicago Bulls,736420
540,Othello Hunter,Madrid Real Madrid,736420
541,Hassan Whiteside,Sacramento Kings,730437
542,Erick Dampier,Miami Heat,713666
543,Ime Udok,San Antonio Spurs,708640
544,Mike Wilks,Oklahoma City Thunder,679821
545,Solomon Alabi,Toronto Raptors,670000
546,Brian Skinner,Milwaukee Bucks,668434
547,Allen Iverson,Philadelphia 76ers,650686
548,Alonzo Gee,Washington Wizards,641141
549,Acie Law,Memphis Grizzlies,633253
550,Andy Rautins,New York Knicks,600000
551,Ike Diogu,LA Clippers,567917
552,Gary Neal,San Antonio Spurs,525000
553,Jason Williams,Memphis Grizzlies,524964
554,Lester Hudson,Washington Wizards,515603
555,Willie Warren,LA Clippers,500000
556,Samardo Samuels,Cleveland Cavaliers,500000
557,Damien Wilkins,Atlanta Hawks,482478
558,Sherron Collins,Charlotte Bobcats,473604
559,Jeremy Li,Golden State Warriors,473604
560,Landry Fields,New York Knicks,473604
561,Ish Smith,Memphis Grizzlies,473604
562,Hamady Ndiaye,Washington Wizards,473604
563,Pooh Jeter,Sacramento Kings,473604
564,Terrico Whit,Perth Perth,473604
565,Garret Siler,Phoenix Suns,473604
566,Gani Lawa,Phoenix Suns,473604
567,Armon Johnson,Portland Trail Blazers,473604
568,Stanley Robinson,null Unknown,473604
569,Brian Zoubek,null Unknown,473604
570,Darington Hobson,Milwaukee Bucks,473604
571,Tiny Gallon,null Unknown,473604
572,Derrick Caracter,Los Angeles Lakers,473604
573,Patrick Beverley,LA Clippers,473604
574,Gary Forbe,Denver Nuggets,473604
575,Donald Sloa,Denver Nuggets,473604
576,Matt Janning,Denver Nuggets,473604
577,Ben Uzoh,New Jersey Nets,473604
578,Manny Harris,Cleveland Cavaliers,473604
579,Devin Ebanks,Los Angeles Lakers,473604
580,Luke Harangody,Cleveland Cavaliers,473604
581,Semih Erden,Cleveland Cavaliers,473604
582,Jeremy Evan,Utah Jazz,473604
583,Pape Sy,Atlanta Hawks,473604
584,Dexter Pittman,Miami Heat,473604
585,Derrick Byars,Memphis Grizzlies,457588
586,Trey Gilder,Utah Jazz,457588
587,Marcus Landry,Milwaukee Bucks,457588
588,Deron Washington,null Unknown,457588
589,Peja Stojakovic,Toronto Raptors,402065
590,Steve Novak,San Antonio Spurs,306575
591,Mustafa Shakur,Washington Wizards,226162
592,Jared Jeffries,New York Knicks,221136
593,Mike Bibby,Washington Wizards,216110
594,Troy Murphy,New Jersey Nets,216110
595,Dominic McGuire,Charlotte Bobcats,211084
596,Sasha Pavlovic,Dallas Mavericks,211084
597,Rasual Butler,LA Clippers,211084
598,Al Thornton,Washington Wizards,211084
599,Travis Diener,Portland Trail Blazers,208802
600,Leon Powe,Memphis Grizzlies,201033
601,Carlos Arroyo,Miami Heat,196007
602,Zabian Dowdell,Phoenix Suns,186656
603,Jannero Pargo,Charlotte Hornets,168579
604,Jeff Adrien,Golden State Warriors,133723
605,John Lucas III,Chicago Bulls,130165
606,Danny Green,San Antonio Spurs,130022
607,Da'Sean Butler,null Unknown,125000
608,Sundiata Gaines,Toronto Raptors,112088
609,Chris Johnson,Portland Trail Blazers,88363
610,Garrett Temple,Charlotte Bobcats,80703
611,Cedric Jackso,Cleveland Cavaliers,40375
612,Othyus Jeffers,Washington Wizards,35868
613,Patrick Ewing Jr.,New Orleans Hornets,25073
614,Marcus Cousin,Utah Jazz,25000
615,Larry Owens,Washington Wizards,22287
616,Mario West,New Jersey Nets,20103
617,Marqus Blakely,Houston Rockets,15000
618,Robert Vaden,San Antonio Spurs,13930
619,Earl Barron,Portland Trail Blazers,11679
620,Trey Johnson,Toronto Raptors,8967
621,Magnum Rolle,null Unknown,8358
