PG%,SG%,SF%,PF%,C%,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Height,Weight,YearsPro,Season
0.0,23.0,77.0,0.0,0.0,21,6,1,5.2,0.5,1.7,0.3,0.0,0.3,0.0,0.5,1.3,0.375,0.3,0.0,0.0,0.0,0.2,1.0,1.2,0.0,0.0,0.2,0.2,0.5,1.0,0.1,0.3,0.2,0.0,3.6,21.0,12.4,0.0,2.8,9.1,15.6,-0.1,0.0,-0.1,-0.107,-9.1,-1.6,-10.7,-0.1,198.12,86.18248,1,2020
100.0,0.0,0.0,0.0,0.0,22,45,12,22.6,3.0,7.1,0.41700000000000004,0.7,2.4,0.308,2.2,4.8,0.47200000000000003,0.469,0.8,0.9,0.8290000000000001,0.5,2.2,2.7,2.9,1.0,0.2,1.6,2.3,7.4,9.1,0.494,0.33299999999999996,0.128,2.5,10.7,6.5,2.1,0.9,17.1,17.2,-0.6,0.6,-0.1,-0.003,-4.0,-0.3,-4.3,-0.6,185.42,84.821704,1,2020
0.0,85.0,14.0,1.0,0.0,29,49,44,24.2,3.5,7.8,0.444,1.3,3.5,0.364,2.2,4.3,0.51,0.526,0.4,0.5,0.833,0.4,2.0,2.3,1.3,0.9,0.1,1.0,2.2,8.6,8.9,0.537,0.452,0.063,1.7,8.9,5.3,1.7,0.4,10.7,15.7,0.2,1.4,1.5,0.062,-3.0,0.5,-2.5,-0.2,190.5,81.64656,10,2020
0.0,0.0,0.0,0.0,100.0,22,58,3,11.4,2.2,3.3,0.667,0.1,0.1,1.0,2.1,3.2,0.6609999999999999,0.675,0.5,0.8,0.652,1.9,2.7,4.6,0.4,0.2,0.6,0.5,2.0,4.9,21.7,0.6809999999999999,0.016,0.243,19.1,25.0,22.2,1.0,4.1,12.5,15.8,2.2,1.1,3.3,0.23600000000000002,1.0,0.3,1.3,0.6,208.28,112.490816,3,2020
0.0,0.0,28.0,68.0,4.0,23,9,0,10.7,1.1,3.1,0.35700000000000004,0.3,1.4,0.231,0.8,1.7,0.467,0.41100000000000003,0.1,0.2,0.5,0.2,2.0,2.2,1.2,0.3,0.6,0.8,0.8,2.7,8.0,0.41600000000000004,0.46399999999999997,0.071,2.4,19.9,11.5,1.5,4.3,19.5,16.3,-0.2,0.1,0.0,-0.006,-5.3,0.7,-4.6,-0.1,195.58,113.398,1,2020
0.0,0.0,92.0,8.0,0.0,21,9,0,5.9,0.7,2.4,0.273,0.1,1.0,0.111,0.6,1.4,0.385,0.295,0.4,0.6,0.8,0.2,0.3,0.6,0.4,0.0,0.1,0.2,0.3,1.9,3.2,0.35100000000000003,0.409,0.22699999999999998,3.9,6.2,5.0,0.0,1.8,7.6,21.0,-0.1,0.0,-0.1,-0.10800000000000001,-5.1,-3.9,-9.0,-0.1,198.12,100.243832,1,2020
0.0,12.0,78.0,10.0,0.0,23,73,32,28.0,3.4,6.6,0.51,1.0,2.7,0.361,2.4,4.0,0.61,0.583,1.4,1.7,0.8440000000000001,0.9,3.1,4.0,1.8,1.4,0.6,1.0,2.2,9.1,12.9,0.62,0.401,0.252,3.5,12.4,7.9,2.4,2.0,12.0,12.7,2.5,2.3,4.8,0.113,-0.6,1.5,0.8,1.5,198.12,94.800728,2,2020
0.0,3.0,72.0,25.0,0.0,21,65,64,30.7,4.9,11.6,0.424,1.5,4.6,0.33,3.4,7.0,0.486,0.489,1.6,2.0,0.809,1.4,4.2,5.6,1.8,0.6,0.7,1.5,2.0,13.0,12.1,0.52,0.39799999999999996,0.174,4.6,15.6,9.9,1.0,2.2,10.5,20.0,0.3,1.3,1.6,0.039,-1.5,-1.0,-2.5,-0.3,198.12,102.0582,2,2020
0.0,2.0,55.0,40.0,3.0,21,19,0,7.1,0.7,1.9,0.361,0.2,0.8,0.2,0.5,1.1,0.47600000000000003,0.40299999999999997,0.4,0.5,0.8,0.5,0.9,1.4,0.4,0.2,0.1,0.4,0.9,1.9,6.7,0.45799999999999996,0.41700000000000004,0.278,7.2,13.0,10.2,1.4,0.7,14.8,15.0,-0.1,0.2,0.1,0.043,-5.8,0.4,-5.4,-0.1,200.66,95.25431999999999,1,2020
0.0,4.0,76.0,21.0,0.0,29,17,1,10.6,1.3,3.5,0.373,1.2,3.0,0.392,0.1,0.5,0.25,0.542,0.4,0.5,0.875,0.3,2.2,2.5,0.6,0.3,0.2,0.4,0.9,4.2,13.1,0.568,0.8640000000000001,0.136,3.0,21.9,12.5,1.3,1.9,8.8,16.3,0.2,0.2,0.4,0.109,0.4,0.3,0.7,0.1,198.12,97.52228,2,2020
